date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160408,25380,25380,24800,24920,12593400,9.35,1.25,14.08,1.001309955,1.008735046,1.034322322,1.032495836,1.000027164,1.001382687,1.001706621,1.004329634
20160411,24920,25420,24920,25320,6034650,9.35,1.25,14.08,0.996571733,1.00267449,1.027702091,1.026223241,1.000018109,1.001171637,1.001608965,1.00429729
20160412,25400,25620,25320,25500,6702700,9.35,1.25,14.08,0.997850195,1.00330312,1.028166037,1.026726313,0.999936621,1.000974328,1.001470528,1.004222527
20160414,26000,26040,25780,26000,16766350,9.35,1.25,14.08,0.997982197,1.003261126,1.027861673,1.026566209,0.999293625,0.999975079,1.000528169,1.003328288
20160415,26180,26200,25800,26000,6829950,9.35,1.25,14.08,1.001583828,1.006143564,1.030685055,1.029767168,0.999501834,0.9999411,1.000488836,1.003346382
20160418,25900,26100,25840,25980,6423700,9.35,1.25,14.08,1.001688383,1.005715344,1.02997239,1.029240473,0.999673872,0.999886737,1.000395111,1.003314833
20160419,25880,25920,25660,25760,7238300,9.35,1.25,14.08,1.00830288,1.014206066,1.03883951,1.038299821,0.999628492,0.999560563,1.000038526,1.003010912
20160420,25640,26000,25640,25980,8598600,9.35,1.25,14.08,1.003838282,1.010965365,1.035373947,1.035378286,1.000715833,1.000554908,1.001040863,1.004063895
20160421,26000,26020,25760,25880,7254450,9.35,1.25,14.08,1.004001002,1.012613276,1.037062795,1.037842721,1.00057981,1.000480107,1.001000744,1.004070556
20160422,25880,25880,25540,25600,5741500,9.35,1.25,14.08,1.003912539,1.013449211,1.038355352,1.039769186,1.00087852,1.000962377,1.001498336,1.004623425
20160425,25700,25700,25420,25620,4597850,9.35,1.25,14.08,1.002447381,1.012889637,1.038745964,1.040600104,1.000226378,1.000409818,1.000952987,1.00414074
20160426,25700,26100,25660,25920,8345050,9.35,1.25,14.08,1.000002852,1.008674284,1.035733688,1.038028716,1.000081473,1.000441471,1.001013321,1.004241342
20160427,25880,26000,25720,26000,8297300,9.35,1.25,14.08,0.996481456,1.004085871,1.031371043,1.034070784,1.000199135,1.000622559,1.001161226,1.004430934
20160428,26000,26000,25220,25300,14653450,9.35,1.25,14.08,0.997283385,1.003726872,1.031169927,1.034086035,1.000497738,1.00105262,1.001566528,1.00488825
20160429,25200,25340,24840,24900,16253900,9.35,1.25,14.08,0.998316581,1.003007887,1.030843422,1.033964868,1.00056102,1.001177056,1.001672852,1.005024364
20160502,24940,25240,24900,25000,7027600,9.35,1.25,14.08,0.988551617,0.989420944,1.016730981,1.019876514,0.999773797,1.00044592,1.000911883,1.004253501
20160503,25340,25400,25120,25220,7903300,9.35,1.25,14.08,1.001542415,1.001326393,1.028740422,1.032218942,1.000606072,1.001453087,1.001948976,1.005289322
20160504,25440,25800,25240,25800,14702750,9.35,1.25,14.08,0.996634643,0.995000389,1.021797394,1.025585815,1.000904282,1.001966637,1.002536874,1.005857696
20160509,25800,26000,25700,25980,15644700,9.35,1.25,14.08,0.995513279,0.991789099,1.018133483,1.021862527,1.000994395,1.002253781,1.00289299,1.006173676
